;Team;Result;For;Aga;Diff;HTf;HTa;Opposition;Ground;Match Date;TeamRk;OppRk
175;France;won;23;21;2;10;8;Italy;Stade de France;2016-02-06;;
176;Italy;lost;21;23;-2;8;10;France;Stade de France;2016-02-06;;
177;Scotland;lost;9;15;-6;6;7;England;Murrayfield;2016-02-06;;
178;Ireland;draw;16;16;0;13;10;Wales;Lansdowne Road;2016-02-06;;
179;Canada;won;33;17;16;19;7;Uruguay;Langford;2016-02-06;;
180;Wales;draw;16;16;0;10;13;Ireland;Lansdowne Road;2016-02-07;;
181;United States of America;won;30;22;8;10;12;Canada;TX;2016-02-13;;
182;Wales;won;27;23;4;10;13;Scotland;Millennium Stadium;2016-02-13;;
183;Canada;lost;22;30;-8;12;10;United States of America;TX;2016-02-13;;
184;Ireland;lost;9;10;-1;9;3;France;Stade de France;2016-02-13;;
185;France;won;10;9;1;3;9;Ireland;Stade de France;2016-02-13;;
186;Scotland;lost;23;27;-4;13;10;Wales;Millennium Stadium;2016-02-13;;
187;Italy;lost;9;40;-31;9;11;England;Rome;2016-02-14;;
188;Wales;won;19;10;9;6;3;France;Millennium Stadium;2016-02-26;;
189;France;lost;10;19;-9;3;6;Wales;Millennium Stadium;2016-02-26;;
190;Italy;lost;20;36;-16;10;17;Scotland;Rome;2016-02-27;;
191;Scotland;won;36;20;16;17;10;Italy;Rome;2016-02-27;;
192;Ireland;lost;10;21;-11;3;6;England;Twickenham;2016-02-27;;
193;United States of America;lost;25;29;-4;13;9;Uruguay;Montevideo;2016-03-05;;
194;Georgia;won;24;7;17;10;0;Russia;Sotchi;2016-03-12;;
195;Italy;lost;15;58;-43;3;25;Ireland;Lansdowne Road;2016-03-12;;
196;Wales;lost;21;25;-4;0;16;England;Twickenham;2016-03-12;;
197;Ireland;won;58;15;43;25;3;Italy;Lansdowne Road;2016-03-12;;
198;Russia;lost;7;24;-17;0;10;Georgia;Sotchi;2016-03-12;;
199;Scotland;won;29;18;11;18;12;France;Murrayfield;2016-03-13;;
200;France;lost;18;29;-11;12;18;Scotland;Murrayfield;2016-03-13;;
201;Scotland;lost;25;35;-10;13;21;Ireland;Lansdowne Road;2016-03-19;;
202;Wales;won;67;14;53;27;0;Italy;Millennium Stadium;2016-03-19;;
203;France;lost;21;31;-10;12;17;England;Stade de France;2016-03-19;;
204;Italy;lost;14;67;-53;0;27;Wales;Millennium Stadium;2016-03-19;;
205;Ireland;won;35;25;10;21;13;Scotland;Lansdowne Road;2016-03-19;;
206;Wales;lost;13;27;-14;13;10;England;Twickenham;2016-05-29;;
207;Samoa;draw;19;19;0;3;9;Georgia;Apia;2016-06-11;;
208;Canada;lost;22;26;-4;12;13;Japan;Vancouver;2016-06-11;;
209;Italy;lost;24;30;-6;16;17;Argentina;Santa Fe;2016-06-11;;
210;Ireland;won;26;20;6;13;13;South Africa;Cape Town;2016-06-11;;
211;Argentina;won;30;24;6;17;16;Italy;Santa Fe;2016-06-11;;
212;Japan;won;26;22;4;13;12;Canada;Vancouver;2016-06-11;;
213;Georgia;draw;19;19;0;9;3;Samoa;Apia;2016-06-11;;
214;Tonga;lost;18;23;-5;15;0;Fiji;Suva;2016-06-11;;
215;Australia;lost;28;39;-11;13;19;England;Brisbane;2016-06-11;;
216;New Zealand;won;39;21;18;15;18;Wales;Auckland;2016-06-11;;
217;Wales;lost;21;39;-18;18;15;New Zealand;Auckland;2016-06-11;;
218;South Africa;lost;20;26;-6;13;13;Ireland;Cape Town;2016-06-11;;
219;Italy;won;24;20;4;11;10;United States of America;San Jose;2016-06-18;;
220;Tonga;lost;20;23;-3;10;13;Georgia;Suva;2016-06-18;;
221;Ireland;lost;26;32;-6;19;3;South Africa;Johannesburg;2016-06-18;;
222;South Africa;won;32;26;6;3;19;Ireland;Johannesburg;2016-06-18;;
223;Samoa;lost;16;26;-10;16;10;Fiji;Suva;2016-06-18;;
224;Japan;lost;13;26;-13;10;16;Scotland;Aichi;2016-06-18;;
225;New Zealand;won;36;22;14;10;10;Wales;Wellington;2016-06-18;;
226;Georgia;won;23;20;3;13;10;Tonga;Suva;2016-06-18;;
227;United States of America;lost;20;24;-4;10;11;Italy;San Jose;2016-06-18;;
228;Wales;lost;22;36;-14;10;10;New Zealand;Wellington;2016-06-18;;
229;Australia;lost;7;23;-16;7;10;England;Melbourne;2016-06-18;;
230;Russia;lost;21;46;-25;7;26;Canada;Calgary;2016-06-18;;
231;Canada;won;46;21;25;26;7;Russia;Calgary;2016-06-18;;
232;Scotland;won;26;13;13;16;10;Japan;Aichi;2016-06-18;;
233;France;lost;19;30;-11;10;17;Argentina;Tucuman;2016-06-19;;
234;Argentina;won;30;19;11;17;10;France;Tucuman;2016-06-19;;
235;Georgia;won;14;3;11;3;3;Fiji;Suva;2016-06-24;;
236;Ireland;lost;13;19;-6;10;13;South Africa;Port Elizabeth;2016-06-25;;
237;Argentina;lost;0;27;-27;0;10;France;Tucuman;2016-06-25;;
238;New Zealand;won;46;6;40;18;6;Wales;Dunedin;2016-06-25;;
239;Russia;lost;0;25;-25;0;15;United States of America;Sacramento;2016-06-25;;
240;France;won;27;0;27;10;0;Argentina;Tucuman;2016-06-25;;
241;Samoa;won;30;10;20;23;3;Tonga;Apia;2016-06-25;;
242;South Africa;won;19;13;6;13;10;Ireland;Port Elizabeth;2016-06-25;;
243;Wales;lost;6;46;-40;6;18;New Zealand;Dunedin;2016-06-25;;
244;Australia;lost;40;44;-4;18;17;England;Sydney;2016-06-25;;
245;Scotland;won;21;16;5;9;13;Japan;Tokyo;2016-06-25;;
246;United States of America;won;25;0;25;15;0;Russia;Sacramento;2016-06-25;;
247;Japan;lost;16;21;-5;13;9;Scotland;Tokyo;2016-06-25;;
248;Tonga;lost;10;30;-20;3;23;Samoa;Apia;2016-06-25;;
249;Canada;lost;18;20;-2;9;9;Italy;Toronto;2016-06-26;;
250;Italy;won;20;18;2;9;9;Canada;Toronto;2016-06-26;;
251;New Zealand;won;42;8;34;32;3;Australia;Sydney;2016-08-20;;
252;Australia;lost;8;42;-34;3;32;New Zealand;Sydney;2016-08-20;;
253;Argentina;lost;23;30;-7;13;10;South Africa;Nelspruit;2016-08-20;;
254;South Africa;won;30;23;7;10;13;Argentina;Nelspruit;2016-08-20;;
255;Argentina;won;26;24;2;13;3;South Africa;Salta;2016-08-27;;
256;New Zealand;won;29;9;20;15;9;Australia;Wellington;2016-08-27;;
257;Australia;lost;9;29;-20;9;15;New Zealand;Wellington;2016-08-27;;
258;South Africa;lost;24;26;-2;3;13;Argentina;Salta;2016-08-27;;
259;South Africa;lost;17;23;-6;14;13;Australia;Brisbane;2016-09-10;;
260;Australia;won;23;17;6;13;14;South Africa;Brisbane;2016-09-10;;
261;Argentina;lost;22;57;-35;19;24;New Zealand;Hamilton;2016-09-10;;
262;New Zealand;won;57;22;35;24;19;Argentina;Hamilton;2016-09-10;;
263;New Zealand;won;41;13;28;15;10;South Africa;Christchurch;2016-09-17;;
264;Argentina;lost;20;36;-16;6;21;Australia;Perth;2016-09-17;;
265;South Africa;lost;13;41;-28;10;15;New Zealand;Christchurch;2016-09-17;;
266;Australia;won;36;20;16;21;6;Argentina;Perth;2016-09-17;;
267;New Zealand;won;36;17;19;29;3;Argentina;Buenos Aires;2016-10-01;;
268;Australia;lost;10;18;-8;10;12;South Africa;Pretoria;2016-10-01;;
269;Argentina;lost;17;36;-19;3;29;New Zealand;Buenos Aires;2016-10-01;;
270;South Africa;won;18;10;8;12;10;Australia;Pretoria;2016-10-01;;
271;Australia;won;33;21;12;18;8;Argentina;Twickenham;2016-10-08;;
272;New Zealand;won;57;15;42;12;9;South Africa;Durban;2016-10-08;;
273;Argentina;lost;21;33;-12;8;18;Australia;Twickenham;2016-10-08;;
274;South Africa;lost;15;57;-42;9;12;New Zealand;Durban;2016-10-08;;
275;Australia;lost;10;37;-27;7;15;New Zealand;Auckland;2016-10-22;;
276;New Zealand;won;37;10;27;15;7;Australia;Auckland;2016-10-22;;
277;Wales;lost;8;32;-24;3;20;Australia;Millennium Stadium;2016-11-05;;
278;Argentina;won;54;20;34;21;6;Japan;Tokyo;2016-11-05;;
279;Australia;won;32;8;24;20;3;Wales;Millennium Stadium;2016-11-05;;
280;New Zealand;lost;29;40;-11;8;25;Ireland;Chicago;2016-11-05;;
281;Ireland;won;40;29;11;25;8;New Zealand;Chicago;2016-11-05;;
282;Japan;lost;20;54;-34;6;21;Argentina;Tokyo;2016-11-05;;
283;South Africa;lost;21;37;-16;9;20;England;Twickenham;2016-11-12;;
284;Wales;won;24;20;4;6;3;Argentina;Millennium Stadium;2016-11-12;;
285;Georgia;lost;22;28;-6;12;8;Japan;Tbilisi;2016-11-12;;
286;Canada;lost;21;52;-31;14;21;Ireland;Lansdowne Road;2016-11-12;;
287;Japan;won;28;22;6;8;12;Georgia;Tbilisi;2016-11-12;;
288;Scotland;lost;22;23;-1;17;10;Australia;Murrayfield;2016-11-12;;
289;Argentina;lost;20;24;-4;3;6;Wales;Millennium Stadium;2016-11-12;;
290;Samoa;lost;8;52;-44;3;26;France;Toulouse;2016-11-12;;
291;Ireland;won;52;21;31;21;14;Canada;Lansdowne Road;2016-11-12;;
292;Australia;won;23;22;1;10;17;Scotland;Murrayfield;2016-11-12;;
293;Italy;lost;10;68;-58;3;35;New Zealand;Rome;2016-11-12;;
294;New Zealand;won;68;10;58;35;3;Italy;Rome;2016-11-12;;
295;France;won;52;8;44;26;3;Samoa;Toulouse;2016-11-12;;
296;Argentina;lost;16;19;-3;3;6;Scotland;Murrayfield;2016-11-19;;
297;Japan;lost;30;33;-3;13;14;Wales;Millennium Stadium;2016-11-19;;
298;New Zealand;won;21;9;12;14;6;Ireland;Lansdowne Road;2016-11-19;;
299;South Africa;lost;18;20;-2;12;10;Italy;Firenze;2016-11-19;;
300;Italy;won;20;18;2;10;12;South Africa;Firenze;2016-11-19;;
301;Wales;won;33;30;3;14;13;Japan;Millennium Stadium;2016-11-19;;
302;Ireland;lost;9;21;-12;6;14;New Zealand;Lansdowne Road;2016-11-19;;
303;Tonga;won;20;17;3;17;10;United States of America;San Sebastian;2016-11-19;;
304;United States of America;lost;17;20;-3;10;17;Tonga;San Sebastian;2016-11-19;;
305;Australia;won;25;23;2;13;11;France;Stade de France;2016-11-19;;
306;Samoa;lost;16;20;-4;10;17;Georgia;Tbilisi;2016-11-19;;
307;Scotland;won;19;16;3;6;3;Argentina;Murrayfield;2016-11-19;;
308;France;lost;23;25;-2;11;13;Australia;Stade de France;2016-11-19;;
309;Georgia;won;20;16;4;17;10;Samoa;Tbilisi;2016-11-19;;
310;Canada;lost;23;25;-2;6;16;Samoa;Grenoble;2016-11-25;;
311;Samoa;won;25;23;2;16;6;Canada;Grenoble;2016-11-25;;
312;France;lost;19;24;-5;6;10;New Zealand;Stade de France;2016-11-26;;
313;New Zealand;won;24;19;5;10;6;France;Stade de France;2016-11-26;;
314;South Africa;lost;13;27;-14;6;12;Wales;Millennium Stadium;2016-11-26;;
315;Australia;lost;24;27;-3;7;17;Ireland;Lansdowne Road;2016-11-26;;
316;Ireland;won;27;24;3;17;7;Australia;Lansdowne Road;2016-11-26;;
317;Argentina;lost;14;27;-13;7;16;England;Twickenham;2016-11-26;;
318;Japan;lost;25;38;-13;6;21;Fiji;Vannes;2016-11-26;;
319;Wales;won;27;13;14;12;6;South Africa;Millennium Stadium;2016-11-26;;
320;Tonga;won;19;17;2;3;7;Italy;Padova;2016-11-26;;
321;Italy;lost;17;19;-2;7;3;Tonga;Padova;2016-11-26;;
322;Scotland;won;43;16;27;31;11;Georgia;Kilmarnock;2016-11-26;;
323;Georgia;lost;16;43;-27;11;31;Scotland;Kilmarnock;2016-11-26;;
324;Australia;lost;21;37;-16;16;13;England;Twickenham;2016-12-03;;
325;Ireland;lost;22;27;-5;8;21;Scotland;Murrayfield;2017-02-04;;
326;France;lost;16;19;-3;9;9;England;Twickenham;2017-02-04;;
327;United States of America;won;29;23;6;16;13;Uruguay;San Antonio;2017-02-04;;
328;Scotland;won;27;22;5;21;8;Ireland;Murrayfield;2017-02-04;;
329;Italy;lost;7;33;-26;7;3;Wales;Rome;2017-02-05;;
330;Wales;won;33;7;26;3;7;Italy;Rome;2017-02-05;;
331;Ireland;won;63;10;53;28;10;Italy;Rome;2017-02-11;;
332;Italy;lost;10;63;-53;10;28;Ireland;Rome;2017-02-11;;
333;Wales;lost;16;21;-5;13;8;England;Millennium Stadium;2017-02-11;;
334;Scotland;lost;16;22;-6;11;13;France;Stade de France;2017-02-12;;
335;France;won;22;16;6;13;11;Scotland;Stade de France;2017-02-12;;
336;United States of America;won;51;34;17;25;15;Canada;Vancouver;2017-02-18;;
337;Canada;lost;34;51;-17;15;25;United States of America;Vancouver;2017-02-18;;
338;Wales;lost;13;29;-16;13;9;Scotland;Murrayfield;2017-02-25;;
339;Ireland;won;19;9;10;7;6;France;Lansdowne Road;2017-02-25;;
340;France;lost;9;19;-10;6;7;Ireland;Lansdowne Road;2017-02-25;;
341;Canada;lost;13;17;-4;3;17;Uruguay;Punte de l'Este;2017-02-25;;
342;Scotland;won;29;13;16;9;13;Wales;Murrayfield;2017-02-25;;
343;Italy;lost;15;36;-21;10;5;England;Twickenham;2017-02-26;;
344;Wales;won;22;9;13;8;6;Ireland;Millennium Stadium;2017-03-10;;
345;Ireland;lost;9;22;-13;6;8;Wales;Millennium Stadium;2017-03-10;;
346;Scotland;lost;21;61;-40;7;30;England;Twickenham;2017-03-11;;
347;Italy;lost;18;40;-22;11;16;France;Rome;2017-03-11;;
348;France;won;40;18;22;16;11;Italy;Rome;2017-03-11;;
349;Russia;lost;14;28;-14;0;14;Georgia;Tbilisi;2017-03-12;;
350;Georgia;won;28;14;14;14;0;Russia;Tbilisi;2017-03-12;;
351;Wales;lost;18;20;-2;9;10;France;Stade de France;2017-03-18;;
352;Scotland;won;29;0;29;15;0;Italy;Murrayfield;2017-03-18;;
